tournament,tournament_id,dated
ABN AMRO World Tennis Tournament,1,16/02/2019
ABN AMRO World Tennis Tournament,1,17/02/2019
ABN AMRO World Tennis Tournament,1,12/02/2018
ABN AMRO World Tennis Tournament,1,12/02/2018
ABN AMRO World Tennis Tournament,1,12/02/2018
ABN AMRO World Tennis Tournament,1,12/02/2018
ABN AMRO World Tennis Tournament,1,13/02/2018
ABN AMRO World Tennis Tournament,1,13/02/2018
ABN AMRO World Tennis Tournament,1,13/02/2018
ABN AMRO World Tennis Tournament,1,13/02/2018
ABN AMRO World Tennis Tournament,1,13/02/2018
ABN AMRO World Tennis Tournament,1,13/02/2018
ABN AMRO World Tennis Tournament,1,14/02/2018
ABN AMRO World Tennis Tournament,1,14/02/2018
ABN AMRO World Tennis Tournament,1,14/02/2018
ABN AMRO World Tennis Tournament,1,14/02/2018
ABN AMRO World Tennis Tournament,1,14/02/2018
ABN AMRO World Tennis Tournament,1,14/02/2018
ABN AMRO World Tennis Tournament,1,14/02/2018
ABN AMRO World Tennis Tournament,1,14/02/2018
ABN AMRO World Tennis Tournament,1,14/02/2018
ABN AMRO World Tennis Tournament,1,15/02/2018
ABN AMRO World Tennis Tournament,1,15/02/2018
ABN AMRO World Tennis Tournament,1,15/02/2018
ABN AMRO World Tennis Tournament,1,15/02/2018
ABN AMRO World Tennis Tournament,1,15/02/2018
ABN AMRO World Tennis Tournament,1,16/02/2018
ABN AMRO World Tennis Tournament,1,16/02/2018
ABN AMRO World Tennis Tournament,1,16/02/2018
ABN AMRO World Tennis Tournament,1,16/02/2018
ABN AMRO World Tennis Tournament,1,17/02/2018
ABN AMRO World Tennis Tournament,1,17/02/2018
ABN AMRO World Tennis Tournament,1,18/02/2018
ABN AMRO World Tennis Tournament,1,13/02/2017
ABN AMRO World Tennis Tournament,1,13/02/2017
ABN AMRO World Tennis Tournament,1,13/02/2017
ABN AMRO World Tennis Tournament,1,13/02/2017
ABN AMRO World Tennis Tournament,1,13/02/2017
ABN AMRO World Tennis Tournament,1,14/02/2017
ABN AMRO World Tennis Tournament,1,14/02/2017
ABN AMRO World Tennis Tournament,1,14/02/2017
ABN AMRO World Tennis Tournament,1,14/02/2017
ABN AMRO World Tennis Tournament,1,14/02/2017
ABN AMRO World Tennis Tournament,1,14/02/2017
ABN AMRO World Tennis Tournament,1,14/02/2017
ABN AMRO World Tennis Tournament,1,15/02/2017
ABN AMRO World Tennis Tournament,1,15/02/2017
ABN AMRO World Tennis Tournament,1,15/02/2017
ABN AMRO World Tennis Tournament,1,15/02/2017
ABN AMRO World Tennis Tournament,1,15/02/2017
ABN AMRO World Tennis Tournament,1,15/02/2017
ABN AMRO World Tennis Tournament,1,15/02/2017
ABN AMRO World Tennis Tournament,1,16/02/2017
ABN AMRO World Tennis Tournament,1,16/02/2017
ABN AMRO World Tennis Tournament,1,16/02/2017
ABN AMRO World Tennis Tournament,1,16/02/2017
ABN AMRO World Tennis Tournament,1,16/02/2017
ABN AMRO World Tennis Tournament,1,17/02/2017
ABN AMRO World Tennis Tournament,1,17/02/2017
ABN AMRO World Tennis Tournament,1,17/02/2017
ABN AMRO World Tennis Tournament,1,17/02/2017
ABN AMRO World Tennis Tournament,1,18/02/2017
ABN AMRO World Tennis Tournament,1,18/02/2017
ABN AMRO World Tennis Tournament,1,19/02/2017
ABN AMRO World Tennis Tournament,1,08/02/2016
ABN AMRO World Tennis Tournament,1,08/02/2016
ABN AMRO World Tennis Tournament,1,08/02/2016
ABN AMRO World Tennis Tournament,1,08/02/2016
ABN AMRO World Tennis Tournament,1,08/02/2016
ABN AMRO World Tennis Tournament,1,09/02/2016
