winner,winner_id,plone_flag,plone_year,plone_height,plone_weight,plone_hand
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Alcaraz C.,5,ESP,2018.0,185.0,72.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
