winner,w_rank,w_pts,loser,l_rank,l_pts,winner_id,loser_id
Mathieu P.H.,31.0,2000.0,Gulbis E.,53.0,1408.0,384,350
Serra F.,60.0,1324.0,Melzer J.,32.0,1878.0,541,587
Tsonga J.W.,7.0,3950.0,Nieminen J.,41.0,1600.0,598,656
Verdasco F.,15.0,2830.0,Ancic M.,35.0,1800.0,619,21
Stepanek R.,26.0,2260.0,Llodra M.,54.0,1400.0,573,529
Nishikori K.,61.0,1280.0,Berdych T.,20.0,2430.0,437,83
Verdasco F.,15.0,2830.0,Serra F.,60.0,1324.0,619,812
Mathieu P.H.,31.0,2000.0,Nishikori K.,61.0,1280.0,384,660
Stepanek R.,26.0,2260.0,Soderling R.,17.0,2650.0,573,847
Gasquet R.,23.0,2320.0,Tsonga J.W.,7.0,3950.0,200,907
Verdasco F.,15.0,2830.0,Mathieu P.H.,31.0,2000.0,619,568
Stepanek R.,26.0,2260.0,Gasquet R.,23.0,2320.0,573,301
Stepanek R.,26.0,2260.0,Verdasco F.,15.0,2830.0,573,940
Greul S.,125.0,778.0,Gimeno-Traver D.,88.0,976.0,228,312
Phau B.,118.0,850.0,Ventura S.,121.0,814.0,468,938
Cilic M.,27.0,2250.0,Martin A.,99.0,940.0,97,563
Sela D.,107.0,906.0,Ramirez-Hidalgo R.,119.0,826.0,537,730
Dlouhy L.,180.0,452.0,Soeda G.,112.0,870.0,148,849
Schuettler R.,33.0,1864.0,Amritraj P.,206.0,392.0,533,20
Granollers M.,55.0,1384.0,Lee H.T.,115.0,864.0,224,512
Beck A.,104.0,908.0,Karanusic R.,89.0,974.0,40,428
Istomin D.,109.0,902.0,Bopanna R.,332.0,208.0,266,105
Davydenko N.,5.0,5330.0,Koellerer D.,28.0,2160.0,119,458
Devvarman S.,202.0,412.0,Kim K.,114.0,866.0,142,441
Karlovic I.,25.0,2280.0,Ram R.,204.0,404.0,287,727
Minar I.,97.0,950.0,Odesnik W.,117.0,862.0,405,669
Moya C.,42.0,1580.0,Udomchoke D.,152.0,566.0,419,912
Tipsarevic J.,47.0,1500.0,Andujar P.,98.0,942.0,589,29
Cipolla F.,138.0,632.0,Wawrinka S.,16.0,2670.0,98,962
Dlouhy L.,180.0,452.0,Davydenko N.,5.0,5330.0,148,186
