winner,w_rank,w_pts,loser,l_rank,l_pts,winner_id,loser_id
Kwon S.W.,53.0,1115.0,Nishioka Y.,81.0,823.0,335,661
Monteiro T.,89.0,805.0,Altmaier D.,84.0,813.0,414,17
Djere L.,52.0,1131.0,Carballes Baena R.,79.0,837.0,146,135
Johnson S.,85.0,812.0,Vukic A.,156.0,440.0,277,953
Moutet C.,92.0,797.0,Rune H.,103.0,740.0,418,770
Daniel T.,125.0,584.0,Musetti L.,59.0,1004.0,115,634
Gerasimov E.,113.0,665.0,Fucsovics M.,40.0,1459.0,203,287
Ymer M.,94.0,782.0,Bonzi B.,64.0,969.0,646,104
Cerundolo J.M.,90.0,803.0,Bolt A.,137.0,506.0,90,103
Paul T.,43.0,1349.0,Vesely J.,83.0,822.0,458,942
Mager G.,62.0,978.0,Cerundolo F.,127.0,582.0,368,145
Kokkinakis T.,171.0,394.0,Millman J.,72.0,875.0,308,597
Djere L.,52.0,1131.0,Moutet C.,92.0,797.0,146,623
Cilic M.,30.0,1710.0,Monteiro T.,89.0,805.0,97,616
Ymer M.,94.0,782.0,Kwon S.W.,53.0,1115.0,646,495
Kokkinakis T.,171.0,394.0,Tiafoe F.,38.0,1492.0,308,887
Paul T.,43.0,1349.0,Daniel T.,125.0,584.0,458,182
Gerasimov E.,113.0,665.0,Mager G.,62.0,978.0,203,548
Khachanov K.,29.0,1731.0,Johnson S.,85.0,812.0,291,415
Monfils G.,21.0,2158.0,Cerundolo J.M.,90.0,803.0,411,146
Cilic M.,30.0,1710.0,Djere L.,52.0,1131.0,97,219
Monfils G.,21.0,2158.0,Paul T.,43.0,1349.0,411,690
Khachanov K.,29.0,1731.0,Gerasimov E.,113.0,665.0,291,305
Kokkinakis T.,171.0,394.0,Ymer M.,94.0,782.0,308,980
Khachanov K.,29.0,1731.0,Cilic M.,30.0,1710.0,291,158
Monfils G.,21.0,2158.0,Kokkinakis T.,171.0,394.0,411,462
Monfils G.,21.0,2158.0,Khachanov K.,29.0,1731.0,411,436
Bagnis F.,76.0,860.0,Murray A.,134.0,521.0,26,633
Van De Zandschulp B.,57.0,1034.0,Mannarino A.,71.0,879.0,605,553
Mcdonald M.,55.0,1084.0,Gojowczyk P.,86.0,808.0,389,319
Griekspoor T.,65.0,966.0,Koepfer D.,54.0,1101.0,229,459
Berankis R.,104.0,739.0,Giron M.,66.0,929.0,48,315
Thompson J.,75.0,860.0,O Connell C.,175.0,388.0,587,666
Ruusuvuori E.,95.0,778.0,Baez S.,99.0,762.0,517,46
Laaksonen H.,98.0,765.0,Paire B.,46.0,1245.0,337,685
Molcan A.,88.0,806.0,Seppi A.,102.0,744.0,408,809
Popyrin A.,61.0,1000.0,Travaglia S.,78.0,846.0,471,896
Cressy M.,112.0,683.0,Hijikata R.,375.0,113.0,108,380
Munar J.,77.0,848.0,Anderson K.,80.0,829.0,422,23
Ruusuvuori E.,95.0,778.0,Thompson J.,75.0,860.0,517,886
Molcan A.,88.0,806.0,Goffin D.,39.0,1476.0,408,317
Dimitrov G.,28.0,1801.0,Bagnis F.,76.0,860.0,145,48
Nadal R.,6.0,4875.0,Berankis R.,104.0,739.0,427,82
Munar J.,77.0,848.0,Laaksonen H.,98.0,765.0,422,498
Griekspoor T.,65.0,966.0,Popyrin A.,61.0,1000.0,229,710
Cressy M.,112.0,683.0,Opelka R.,26.0,1936.0,108,678
Van De Zandschulp B.,57.0,1034.0,Mcdonald M.,55.0,1084.0,605,575
Ruusuvuori E.,95.0,778.0,Molcan A.,88.0,806.0,517,608
Nadal R.,6.0,4875.0,Griekspoor T.,65.0,966.0,427,343
Cressy M.,112.0,683.0,Munar J.,77.0,848.0,108,628
Dimitrov G.,28.0,1801.0,Van De Zandschulp B.,57.0,1034.0,145,920
Cressy M.,112.0,683.0,Dimitrov G.,28.0,1801.0,108,218
Nadal R.,6.0,4875.0,Ruusuvuori E.,95.0,778.0,427,773
Nadal R.,6.0,4875.0,Cressy M.,112.0,683.0,427,174
Vukic A.,160.0,440.0,Bublik A.,35.0,1538.0,626,125
Paul T.,41.0,1374.0,Tiafoe F.,37.0,1492.0,458,887
Rinderknech A.,58.0,1057.0,Mcdonald M.,55.0,1094.0,497,575
Munar J.,72.0,868.0,Millman J.,80.0,820.0,422,597
Moutet C.,115.0,643.0,Struff J.L.,50.0,1171.0,418,868
Kwon S.W.,53.0,1110.0,Harris L.,32.0,1629.0,335,367
Johnson S.,84.0,807.0,Bolt A.,142.0,496.0,277,103
Bonzi B.,65.0,969.0,Carballes Baena R.,76.0,837.0,63,135
Fucsovics M.,38.0,1447.0,Van De Zandschulp B.,56.0,1069.0,191,920
Mager G.,63.0,982.0,Gerasimov E.,106.0,712.0,368,305
Kokkinakis T.,145.0,480.0,Paire B.,47.0,1205.0,308,685
Monteiro T.,83.0,809.0,Nishioka Y.,99.0,748.0,414,661
Rinderknech A.,58.0,1057.0,Kwon S.W.,53.0,1110.0,497,495
Cilic M.,29.0,1760.0,Munar J.,72.0,868.0,97,628
Paul T.,41.0,1374.0,Bonzi B.,65.0,969.0,458,104
Khachanov K.,30.0,1726.0,Mager G.,63.0,982.0,291,548
Vukic A.,160.0,440.0,Johnson S.,84.0,807.0,626,415
Kokkinakis T.,145.0,480.0,Isner J.,24.0,2016.0,308,399
Monteiro T.,83.0,809.0,Monfils G.,19.0,2373.0,414,612
Moutet C.,115.0,643.0,Fucsovics M.,38.0,1447.0,418,287
Rinderknech A.,58.0,1057.0,Khachanov K.,30.0,1726.0,497,436
Cilic M.,29.0,1760.0,Paul T.,41.0,1374.0,97,690
Moutet C.,115.0,643.0,Monteiro T.,83.0,809.0,418,616
Kokkinakis T.,145.0,480.0,Vukic A.,160.0,440.0,308,953
Rinderknech A.,58.0,1057.0,Moutet C.,115.0,643.0,497,623
Kokkinakis T.,145.0,480.0,Cilic M.,29.0,1760.0,308,158
Kokkinakis T.,145.0,480.0,Rinderknech A.,58.0,1057.0,308,748
Goffin D.,45.0,1261.0,Bagnis F.,71.0,868.0,213,48
Sonego L.,27.0,1825.0,Gaston H.,67.0,919.0,561,302
Thompson J.,73.0,860.0,Giron M.,66.0,929.0,587,315
Fognini F.,36.0,1494.0,Altmaier D.,91.0,792.0,187,17
Baez S.,9.0,3849.0,O Connell C.,173.0,386.0,24,666
Nakashima B.,68.0,917.0,Vesely J.,79.0,822.0,429,942
Kudla D.,109.0,698.0,Delbonis F.,42.0,1347.0,325,204
Kecmanovic M.,78.0,836.0,Travaglia S.,86.0,807.0,289,896
Martinez P.,61.0,1001.0,Popyrin A.,59.0,1010.0,381,710
Lajovic D.,43.0,1346.0,Davidovich Fokina A.,51.0,1160.0,339,185
Cressy M.,75.0,838.0,Mannarino A.,70.0,879.0,108,553
Murray A.,135.0,521.0,Durasovic V.,345.0,137.0,425,236
Sonego L.,27.0,1825.0,Baez S.,9.0,3849.0,561,46
Nakashima B.,68.0,917.0,Fognini F.,36.0,1494.0,429,282
Evans D.,26.0,1912.0,Martinez P.,61.0,1001.0,176,565
Karatsev A.,20.0,2351.0,Kecmanovic M.,78.0,836.0,286,433
Opelka R.,25.0,1936.0,Thompson J.,73.0,860.0,450,886
Goffin D.,45.0,1261.0,Kudla D.,109.0,698.0,213,482
Murray A.,135.0,521.0,Basilashvili N.,23.0,2086.0,425,64
Cressy M.,75.0,838.0,Lajovic D.,43.0,1346.0,108,501
Karatsev A.,20.0,2351.0,Sonego L.,27.0,1825.0,286,850
Opelka R.,25.0,1936.0,Nakashima B.,68.0,917.0,450,640
Murray A.,135.0,521.0,Goffin D.,45.0,1261.0,425,317
Evans D.,26.0,1912.0,Cressy M.,75.0,838.0,176,174
Murray A.,135.0,521.0,Opelka R.,25.0,1936.0,425,678
Karatsev A.,20.0,2351.0,Evans D.,26.0,1912.0,286,265
Karatsev A.,20.0,2351.0,Murray A.,135.0,521.0,286,633
Shapovalov D.,14.0,2593.0,Djere L.,51.0,1156.0,543,219
Kwon S.W.,54.0,1085.0,Rune H.,99.0,742.0,335,770
Lajovic D.,39.0,1346.0,Fucsovics M.,35.0,1457.0,339,287
Vukic A.,144.0,477.0,Harris L.,33.0,1473.0,626,367
Garin C.,19.0,2375.0,Bagnis F.,72.0,868.0,199,48
Martinez P.,61.0,1001.0,Delbonis F.,38.0,1347.0,381,204
Bonzi B.,63.0,979.0,Gojowczyk P.,82.0,802.0,63,319
Albot R.,124.0,587.0,Nishioka Y.,119.0,610.0,4,661
Alcaraz C.,31.0,1609.0,Tabilo A.,135.0,518.0,5,877
Kozlov S.,169.0,401.0,Vesely J.,78.0,824.0,316,942
Monfils G.,20.0,2373.0,Coria F.,64.0,976.0,411,168
Berrettini M.,7.0,4568.0,Nakashima B.,68.0,917.0,53,640
Khachanov K.,30.0,1748.0,Kudla D.,105.0,714.0,291,482
Mannarino A.,69.0,879.0,Duckworth J.,49.0,1166.0,373,234
Carreno Busta P.,21.0,2305.0,Etcheverry T.,131.0,556.0,83,262
Bublik A.,37.0,1411.0,Escobedo E.,141.0,497.0,76,259
Nadal R.,5.0,4875.0,Giron M.,66.0,920.0,427,315
Korda S.,43.0,1286.0,Norrie C.,12.0,2900.0,311,663
Hurkacz H.,11.0,3336.0,Gerasimov E.,106.0,714.0,261,305
Koepfer D.,53.0,1096.0,Taberner C.,108.0,707.0,305,876
Moutet C.,100.0,737.0,Pouille L.,160.0,440.0,418,713
Griekspoor T.,62.0,1001.0,Fognini F.,32.0,1494.0,229,282
Mcdonald M.,55.0,1084.0,Milojevic N.,139.0,506.0,389,599
Kecmanovic M.,77.0,836.0,Caruso S.,146.0,458.0,289,139
Sonego L.,26.0,1860.0,Querrey S.,110.0,685.0,561,720
Hanfmann Y.,126.0,583.0,Kokkinakis T.,103.0,726.0,243,462
Opelka R.,29.0,1776.0,Anderson K.,97.0,744.0,450,23
Millman J.,89.0,788.0,Lopez F.,109.0,696.0,401,533
Otte O.,96.0,748.0,Tseng C.H.,190.0,348.0,452,904
Karatsev A.,15.0,2553.0,Munar J.,71.0,875.0,286,628
Paul T.,41.0,1317.0,Kukushkin M.,180.0,362.0,458,486
Zverev A.,3.0,7970.0,Altmaier D.,87.0,792.0,660,17
Schwartzman D.,13.0,2730.0,Krajinovic F.,36.0,1427.0,536,475
Van De Zandschulp B.,57.0,1069.0,Struff J.L.,52.0,1149.0,605,868
Gasquet R.,81.0,807.0,Humbert U.,40.0,1318.0,200,389
O Connell C.,175.0,383.0,Gaston H.,67.0,919.0,443,302
Gombos N.,117.0,624.0,Skatov T.,253.0,240.0,216,834
Cilic M.,27.0,1840.0,Gomez E.,153.0,450.0,97,324
Kohlschreiber P.,134.0,533.0,Cecchinato M.,95.0,759.0,306,142
Bautista Agut R.,18.0,2385.0,Travaglia S.,98.0,744.0,38,896
Berankis R.,93.0,761.0,Carballes Baena R.,75.0,837.0,48,135
Rublev A.,6.0,4785.0,Mager G.,65.0,957.0,512,548
Dimitrov G.,28.0,1821.0,Lehecka J.,142.0,494.0,145,513
Johnson S.,104.0,724.0,Thompson J.,73.0,860.0,277,886
Sinner J.,10.0,3390.0,Sousa J.,140.0,500.0,549,852
Paire B.,56.0,1075.0,Monteiro T.,79.0,824.0,455,616
Cressy M.,70.0,875.0,Isner J.,25.0,1881.0,108,399
Medvedev D.,2.0,8935.0,Laaksonen H.,91.0,781.0,391,498
Murray A.,113.0,671.0,Basilashvili N.,23.0,2051.0,425,64
Auger-Aliassime F.,9.0,3608.0,Ruusuvuori E.,90.0,783.0,21,773
Machac T.,132.0,555.0,Cerundolo J.M.,80.0,818.0,365,146
Daniel T.,120.0,606.0,Barrios M.,147.0,458.0,115,60
Molcan A.,74.0,839.0,Safiullin R.,149.0,455.0,408,780
Andujar P.,83.0,800.0,Dzumhur D.,161.0,429.0,16,240
Evans D.,24.0,1957.0,Goffin D.,45.0,1216.0,176,317
Fritz T.,22.0,2175.0,Marterer M.,228.0,279.0,190,560
Davidovich Fokina A.,50.0,1160.0,Bolt A.,152.0,451.0,118,103
Baez S.,88.0,791.0,Ramos-Vinolas A.,44.0,1259.0,24,732
Tiafoe F.,34.0,1467.0,Trungelliti M.,198.0,326.0,588,902
Rinderknech A.,48.0,1178.0,Popyrin A.,59.0,1010.0,497,710
Majchrzak K.,107.0,708.0,Seppi A.,101.0,736.0,370,809
De Minaur A.,42.0,1316.0,Musetti L.,60.0,1004.0,125,634
Kyrgios N.,115.0,648.0,Broady L.,128.0,569.0,336,118
Tsitsipas S.,4.0,6540.0,Ymer M.,86.0,793.0,597,980
Sonego L.,26.0,1860.0,Otte O.,96.0,748.0,561,681
Kecmanovic M.,77.0,836.0,Paul T.,41.0,1317.0,289,690
Carreno Busta P.,21.0,2305.0,Griekspoor T.,62.0,1001.0,83,343
Opelka R.,29.0,1776.0,Koepfer D.,53.0,1096.0,450,459
Korda S.,43.0,1286.0,Moutet C.,100.0,737.0,311,623
Shapovalov D.,14.0,2593.0,Kwon S.W.,54.0,1085.0,543,495
Nadal R.,5.0,4875.0,Hanfmann Y.,126.0,583.0,427,364
Alcaraz C.,31.0,1609.0,Lajovic D.,39.0,1346.0,5,501
Berrettini M.,7.0,4568.0,Kozlov S.,169.0,401.0,53,473
Garin C.,19.0,2375.0,Martinez P.,61.0,1001.0,199,565
Albot R.,124.0,587.0,Vukic A.,144.0,477.0,4,953
Mannarino A.,69.0,879.0,Hurkacz H.,11.0,3336.0,373,390
Khachanov K.,30.0,1748.0,Bonzi B.,63.0,979.0,291,104
Karatsev A.,15.0,2553.0,Mcdonald M.,55.0,1084.0,286,575
Zverev A.,3.0,7970.0,Millman J.,89.0,788.0,660,597
Monfils G.,20.0,2373.0,Bublik A.,37.0,1411.0,411,125
Cilic M.,27.0,1840.0,Gombos N.,117.0,624.0,97,322
O Connell C.,175.0,383.0,Schwartzman D.,13.0,2730.0,443,806
Cressy M.,70.0,875.0,Machac T.,132.0,555.0,108,545
Rublev A.,6.0,4785.0,Berankis R.,93.0,761.0,512,82
Evans D.,24.0,1957.0,Rinderknech A.,48.0,1178.0,176,748
Andujar P.,83.0,800.0,Molcan A.,74.0,839.0,16,608
Fritz T.,22.0,2175.0,Tiafoe F.,34.0,1467.0,190,887
Bautista Agut R.,18.0,2385.0,Kohlschreiber P.,134.0,533.0,38,460
Auger-Aliassime F.,9.0,3608.0,Davidovich Fokina A.,50.0,1160.0,21,185
De Minaur A.,42.0,1316.0,Majchrzak K.,107.0,708.0,125,550
Tsitsipas S.,4.0,6540.0,Baez S.,88.0,791.0,597,46
Paire B.,56.0,1075.0,Dimitrov G.,28.0,1821.0,455,218
Daniel T.,120.0,606.0,Murray A.,113.0,671.0,115,633
Van De Zandschulp B.,57.0,1069.0,Gasquet R.,81.0,807.0,605,301
Medvedev D.,2.0,8935.0,Kyrgios N.,115.0,648.0,391,497
Sinner J.,10.0,3390.0,Johnson S.,104.0,724.0,549,415
Kecmanovic M.,77.0,836.0,Sonego L.,26.0,1860.0,289,850
Monfils G.,20.0,2373.0,Garin C.,19.0,2375.0,411,299
Berrettini M.,7.0,4568.0,Alcaraz C.,31.0,1609.0,53,12
Shapovalov D.,14.0,2593.0,Opelka R.,29.0,1776.0,543,678
Carreno Busta P.,21.0,2305.0,Korda S.,43.0,1286.0,83,467
Zverev A.,3.0,7970.0,Albot R.,124.0,587.0,660,10
Nadal R.,5.0,4875.0,Khachanov K.,30.0,1748.0,427,436
Mannarino A.,69.0,879.0,Karatsev A.,15.0,2553.0,373,429
Fritz T.,22.0,2175.0,Bautista Agut R.,18.0,2385.0,190,67
Tsitsipas S.,4.0,6540.0,Paire B.,56.0,1075.0,597,685
Cressy M.,70.0,875.0,O Connell C.,175.0,383.0,108,666
Medvedev D.,2.0,8935.0,Van De Zandschulp B.,57.0,1069.0,391,920
Auger-Aliassime F.,9.0,3608.0,Evans D.,24.0,1957.0,21,265
Sinner J.,10.0,3390.0,Daniel T.,120.0,606.0,549,182
De Minaur A.,42.0,1316.0,Andujar P.,83.0,800.0,125,29
Cilic M.,27.0,1840.0,Rublev A.,6.0,4785.0,97,768
Nadal R.,5.0,4875.0,Mannarino A.,69.0,879.0,427,553
Shapovalov D.,14.0,2593.0,Zverev A.,3.0,7970.0,543,1007
Monfils G.,20.0,2373.0,Kecmanovic M.,77.0,836.0,411,433
Berrettini M.,7.0,4568.0,Carreno Busta P.,21.0,2305.0,53,136
Auger-Aliassime F.,9.0,3608.0,Cilic M.,27.0,1840.0,21,158
Medvedev D.,2.0,8935.0,Cressy M.,70.0,875.0,391,174
Sinner J.,10.0,3390.0,De Minaur A.,42.0,1316.0,549,193
Tsitsipas S.,4.0,6540.0,Fritz T.,22.0,2175.0,597,286
Nadal R.,5.0,4875.0,Shapovalov D.,14.0,2593.0,427,816
Berrettini M.,7.0,4568.0,Monfils G.,20.0,2373.0,53,612
Tsitsipas S.,4.0,6540.0,Sinner J.,10.0,3390.0,597,830
Medvedev D.,2.0,8935.0,Auger-Aliassime F.,9.0,3608.0,391,41
Nadal R.,5.0,4875.0,Berrettini M.,7.0,4568.0,427,87
Medvedev D.,2.0,8935.0,Tsitsipas S.,4.0,6540.0,391,906
Nadal R.,5.0,4875.0,Medvedev D.,2.0,8935.0,427,579
Martinez P.,61.0,1026.0,Monteiro T.,92.0,754.0,381,616
Varillas J.P.,129.0,567.0,Bagnis F.,74.0,863.0,611,48
Munar J.,88.0,773.0,Paire B.,54.0,1120.0,422,685
Londero J.I.,139.0,512.0,Hanfmann Y.,120.0,605.0,357,364
Carballes Baena R.,76.0,831.0,Rune H.,97.0,742.0,82,770
Etcheverry T.,128.0,574.0,Jarry N.,149.0,460.0,173,407
Ramos-Vinolas A.,44.0,1259.0,Martin A.,115.0,624.0,487,563
Ficovich J.P.,230.0,277.0,Coria F.,64.0,971.0,184,168
Galan D.E.,127.0,582.0,Dellien H.,109.0,684.0,195,209
Taberner C.,105.0,707.0,Delbonis F.,41.0,1312.0,582,204
Tabilo A.,144.0,483.0,Cerundolo F.,111.0,651.0,583,145
Baez S.,77.0,831.0,Verdasco F.,200.0,325.0,24,940
Galan D.E.,127.0,582.0,Munar J.,88.0,773.0,195,628
Londero J.I.,139.0,512.0,Martinez P.,61.0,1026.0,357,565
Schwartzman D.,14.0,2640.0,Ficovich J.P.,230.0,277.0,536,276
Milojevic N.,136.0,525.0,Etcheverry T.,128.0,574.0,403,262
Ramos-Vinolas A.,44.0,1259.0,Varillas J.P.,129.0,567.0,487,928
Sonego L.,23.0,1937.0,Carballes Baena R.,76.0,831.0,561,135
Baez S.,77.0,831.0,Garin C.,18.0,2420.0,24,299
Tabilo A.,144.0,483.0,Taberner C.,105.0,707.0,583,876
Ramos-Vinolas A.,44.0,1259.0,Sonego L.,23.0,1937.0,487,850
Londero J.I.,139.0,512.0,Milojevic N.,136.0,525.0,357,599
Schwartzman D.,14.0,2640.0,Galan D.E.,127.0,582.0,536,291
Tabilo A.,144.0,483.0,Baez S.,77.0,831.0,583,46
Tabilo A.,144.0,483.0,Schwartzman D.,14.0,2640.0,583,806
Ramos-Vinolas A.,44.0,1259.0,Londero J.I.,139.0,512.0,487,532
Ramos-Vinolas A.,44.0,1259.0,Tabilo A.,144.0,483.0,487,877
Goffin D.,52.0,1141.0,Bonzi B.,68.0,924.0,213,104
Bublik A.,35.0,1433.0,Griekspoor T.,62.0,1011.0,76,343
Krajinovic F.,36.0,1414.0,Popyrin A.,65.0,965.0,318,710
Herbert P.H.,113.0,643.0,Gojowczyk P.,96.0,742.0,251,319
Tsonga J.W.,259.0,225.0,Zuk K.,172.0,379.0,598,1006
Dzumhur D.,152.0,447.0,Molcan A.,72.0,876.0,160,608
Simon G.,130.0,553.0,Pouille L.,156.0,442.0,548,713
Kwon S.W.,55.0,1120.0,Gaston H.,69.0,921.0,335,302
Ymer M.,83.0,793.0,Moutet C.,89.0,772.0,646,623
Mcdonald M.,56.0,1119.0,Ivashka I.,48.0,1159.0,389,403
Gasquet R.,75.0,852.0,Humbert U.,40.0,1318.0,200,389
Mannarino A.,58.0,1049.0,Davidovich Fokina A.,47.0,1160.0,373,185
Bublik A.,35.0,1433.0,Herbert P.H.,113.0,643.0,76,374
Krajinovic F.,36.0,1414.0,Tsonga J.W.,259.0,225.0,318,907
Bautista Agut R.,19.0,2385.0,Simon G.,130.0,553.0,38,827
Dzumhur D.,152.0,447.0,Basilashvili N.,21.0,2016.0,160,64
Mannarino A.,58.0,1049.0,Goffin D.,52.0,1141.0,373,317
Gasquet R.,75.0,852.0,Kwon S.W.,55.0,1120.0,200,495
Zverev A.,3.0,7780.0,Mcdonald M.,56.0,1119.0,660,575
Ymer M.,83.0,793.0,Monfils G.,16.0,2553.0,646,612
Krajinovic F.,36.0,1414.0,Dzumhur D.,152.0,447.0,318,240
Bublik A.,35.0,1433.0,Bautista Agut R.,19.0,2385.0,76,67
Ymer M.,83.0,793.0,Gasquet R.,75.0,852.0,646,301
Zverev A.,3.0,7780.0,Mannarino A.,58.0,1049.0,660,553
Bublik A.,35.0,1433.0,Krajinovic F.,36.0,1414.0,76,475
Zverev A.,3.0,7780.0,Ymer M.,83.0,793.0,660,980
Bublik A.,35.0,1433.0,Zverev A.,3.0,7780.0,76,1007
Albot R.,108.0,695.0,Gaio F.,174.0,371.0,4,289
Halys Q.,141.0,500.0,Berankis R.,82.0,796.0,241,82
Bhambri Y.,862.0,18.0,Kovalik J.,168.0,390.0,54,472
Altmaier D.,85.0,787.0,Gunneswaran P.,228.0,278.0,7,351
Ruusuvuori E.,87.0,783.0,Gerasimov E.,104.0,714.0,517,305
Ymer E.,163.0,410.0,Moroni G.M.,202.0,324.0,645,621
Majchrzak K.,95.0,743.0,Clarke J.,196.0,329.0,370,161
Vukic A.,140.0,504.0,Grenier H.,158.0,421.0,626,341
Sousa J.,137.0,522.0,Kadhe A.,778.0,26.0,563,426
Zapata Miralles B.,126.0,586.0,Novak D.,117.0,616.0,650,664
Kopriva V.,193.0,338.0,Ilkel C.,183.0,352.0,310,396
Travaglia S.,93.0,744.0,Ramanathan R.,182.0,353.0,592,728
Majchrzak K.,95.0,743.0,Halys Q.,141.0,500.0,370,361
Altmaier D.,85.0,787.0,Albot R.,108.0,695.0,7,10
Sousa J.,137.0,522.0,Mager G.,67.0,947.0,563,548
Musetti L.,66.0,960.0,Vukic A.,140.0,504.0,426,953
Vesely J.,80.0,819.0,Zapata Miralles B.,126.0,586.0,620,986
Ruusuvuori E.,87.0,783.0,Kopriva V.,193.0,338.0,517,466
Ymer E.,163.0,410.0,Karatsev A.,15.0,2633.0,645,429
Travaglia S.,93.0,744.0,Bhambri Y.,862.0,18.0,592,91
Majchrzak K.,95.0,743.0,Musetti L.,66.0,960.0,370,634
Ruusuvuori E.,87.0,783.0,Vesely J.,80.0,819.0,517,942
Sousa J.,137.0,522.0,Altmaier D.,85.0,787.0,563,17
Ymer E.,163.0,410.0,Travaglia S.,93.0,744.0,645,896
Ruusuvuori E.,87.0,783.0,Majchrzak K.,95.0,743.0,517,550
Sousa J.,137.0,522.0,Ymer E.,163.0,410.0,563,979
Sousa J.,137.0,522.0,Ruusuvuori E.,87.0,783.0,563,773
Lajovic D.,37.0,1371.0,Paire B.,50.0,1120.0,339,685
Kecmanovic M.,64.0,971.0,Djere L.,56.0,1076.0,289,219
Verdasco F.,201.0,325.0,Dellien H.,103.0,684.0,619,209
Cerundolo F.,107.0,651.0,Bagnis F.,76.0,860.0,89,48
Coria F.,65.0,971.0,Cuevas P.,96.0,715.0,104,178
Munar J.,90.0,737.0,Etcheverry T.,127.0,561.0,422,262
Carballes Baena R.,78.0,835.0,Jarry N.,145.0,472.0,82,407
Monteiro T.,104.0,680.0,Ramos-Vinolas A.,32.0,1499.0,414,732
Baez S.,74.0,866.0,Rune H.,88.0,742.0,24,770
Martinez P.,61.0,1014.0,Tabilo A.,112.0,630.0,381,877
Andujar P.,73.0,870.0,Londero J.I.,130.0,557.0,16,532
Delbonis F.,42.0,1312.0,Del Potro J.M.,753.0,28.0,133,203
Coria F.,65.0,971.0,Lajovic D.,37.0,1371.0,104,501
Verdasco F.,201.0,325.0,Monteiro T.,104.0,680.0,619,616
Ruud C.,8.0,4065.0,Carballes Baena R.,78.0,835.0,516,135
Sonego L.,22.0,1962.0,Baez S.,74.0,866.0,561,46
Fognini F.,40.0,1324.0,Martinez P.,61.0,1014.0,187,565
Delbonis F.,42.0,1312.0,Andujar P.,73.0,870.0,133,29
Cerundolo F.,107.0,651.0,Kecmanovic M.,64.0,971.0,89,433
Schwartzman D.,15.0,2550.0,Munar J.,90.0,737.0,536,628
Delbonis F.,42.0,1312.0,Fognini F.,40.0,1324.0,133,282
Ruud C.,8.0,4065.0,Coria F.,65.0,971.0,516,168
Sonego L.,22.0,1962.0,Verdasco F.,201.0,325.0,561,940
Schwartzman D.,15.0,2550.0,Cerundolo F.,107.0,651.0,536,145
Ruud C.,8.0,4065.0,Delbonis F.,42.0,1312.0,516,204
Schwartzman D.,15.0,2550.0,Sonego L.,22.0,1962.0,536,850
Ruud C.,8.0,4065.0,Schwartzman D.,15.0,2550.0,516,806
Anderson K.,101.0,699.0,Querrey S.,118.0,605.0,12,720
Nakashima B.,82.0,802.0,Millman J.,89.0,738.0,429,597
Thompson J.,83.0,800.0,Lopez F.,102.0,686.0,587,533
Giron M.,70.0,918.0,Sandgren T.,163.0,400.0,211,790
Broady L.,121.0,589.0,Gojowczyk P.,97.0,713.0,70,319
Rodionov J.,153.0,449.0,Cressy M.,59.0,1047.0,504,174
Stebe C.M.,231.0,269.0,Kudla D.,105.0,664.0,572,482
Sock J.,147.0,464.0,Otte O.,84.0,789.0,557,681
Pospisil V.,150.0,454.0,Chakravarthi C.,,,473,150
Nishioka Y.,108.0,640.0,Krueger M.,166.0,388.0,438,479
Mannarino A.,57.0,1074.0,Johnson S.,93.0,719.0,373,415
Seppi A.,100.0,704.0,Altmaier D.,81.0,803.0,538,17
Giron M.,70.0,918.0,Broady L.,121.0,589.0,211,118
Thompson J.,83.0,800.0,Nakashima B.,82.0,802.0,587,640
Isner J.,26.0,1801.0,Anderson K.,101.0,699.0,265,23
Fritz T.,19.0,2310.0,Sock J.,147.0,464.0,190,846
Pospisil V.,150.0,454.0,Rodionov J.,153.0,449.0,473,756
Brooksby J.,54.0,1083.0,Seppi A.,100.0,704.0,71,809
Opelka R.,23.0,1846.0,Stebe C.M.,231.0,269.0,450,862
Mannarino A.,57.0,1074.0,Nishioka Y.,108.0,640.0,373,661
Brooksby J.,54.0,1083.0,Thompson J.,83.0,800.0,71,886
Giron M.,70.0,918.0,Fritz T.,19.0,2310.0,211,286
Isner J.,26.0,1801.0,Pospisil V.,150.0,454.0,265,712
Opelka R.,23.0,1846.0,Mannarino A.,57.0,1074.0,450,553
Opelka R.,23.0,1846.0,Isner J.,26.0,1801.0,450,399
Brooksby J.,54.0,1083.0,Giron M.,70.0,918.0,71,315
Opelka R.,23.0,1846.0,Brooksby J.,54.0,1083.0,450,119
Mcdonald M.,49.0,1121.0,Basilashvili N.,21.0,2016.0,389,64
De Minaur A.,34.0,1486.0,Goffin D.,47.0,1156.0,125,317
Hurkacz H.,11.0,3308.0,Tsonga J.W.,247.0,245.0,261,907
Norrie C.,13.0,2865.0,Humbert U.,41.0,1318.0,440,389
Griekspoor T.,62.0,1011.0,Karatsev A.,14.0,2633.0,229,429
Khachanov K.,28.0,1748.0,Popyrin A.,66.0,955.0,291,710
Rublev A.,7.0,4565.0,Laaksonen H.,85.0,784.0,512,498
Lehecka J.,137.0,522.0,Shapovalov D.,12.0,2930.0,348,816
Musetti L.,63.0,995.0,Ymer M.,75.0,863.0,426,980
Tsitsipas S.,4.0,7145.0,Davidovich Fokina A.,46.0,1160.0,597,185
Van De Zandschulp B.,51.0,1114.0,Zapata Miralles B.,129.0,558.0,605,986
