loser,best_of,l_one,l_two,l_three,l_four,l_five,loser_id
Paire B.,3,5.0,0.0,,,,685
Gombos N.,3,3.0,3.0,,,,322
Tsitsipas S.,3,4.0,6.0,6.0,,,906
Gojowczyk P.,3,2.0,2.0,,,,319
Medvedev D.,3,6.0,6.0,,,,579
Djere L.,3,2.0,6.0,,,,219
Fucsovics M.,3,7.0,2.0,3.0,,,287
Pouille L.,3,4.0,4.0,,,,713
Tsonga J.W.,3,2.0,2.0,,,,907
Schnur B.,3,1.0,2.0,,,,799
Lajovic D.,3,6.0,4.0,4.0,,,501
Dimitrov G.,3,4.0,4.0,,,,218
Kukushkin M.,3,4.0,4.0,,,,486
Tomic B.,3,3.0,2.0,,,,891
Kwon S.W.,3,6.0,4.0,,,,495
Paire B.,3,6.0,4.0,,,,685
Herbert P.H.,3,3.0,5.0,,,,374
Polansky P.,3,7.0,3.0,3.0,,,707
Klahn B.,3,3.0,6.0,,,,450
De Minaur A.,3,4.0,6.0,,,,193
Thompson J.,3,6.0,3.0,6.0,,,886
Simon G.,3,4.0,2.0,,,,827
Cecchinato M.,3,6.0,6.0,4.0,,,142
Pospisil V.,3,2.0,7.0,6.0,,,712
Lopez F.,3,7.0,6.0,3.0,,,533
Goffin D.,3,4.0,6.0,,,,317
Gojowczyk P.,3,6.0,1.0,6.0,,,319
Fritz T.,3,3.0,5.0,,,,286
Kyrgios N.,3,3.0,4.0,,,,497
Struff J.L.,3,6.0,2.0,3.0,,,868
Norrie C.,3,6.0,4.0,,,,663
Albot R.,3,3.0,6.0,6.0,,,10
Millman J.,3,3.0,4.0,,,,597
Nishikori K.,3,7.0,2.0,6.0,,,660
Evans D.,3,6.0,4.0,,,,265
Schwartzman D.,3,2.0,5.0,,,,806
Shapovalov D.,3,4.0,6.0,3.0,,,816
Isner J.,3,3.0,4.0,,,,399
Edmund K.,3,3.0,0.0,,,,246
Tsitsipas S.,3,4.0,6.0,3.0,,,906
Ivashka I.,3,3.0,6.0,,,,403
Wawrinka S.,3,4.0,7.0,2.0,,,962
Raonic M.,3,3.0,6.0,,,,733
Coric B.,3,2.0,1.0,,,,170
Paul T.,3,6.0,3.0,,,,690
Cilic M.,3,6.0,4.0,,,,158
Garin C.,3,3.0,3.0,,,,299
Basilashvili N.,3,5.0,7.0,6.0,,,64
Auger-Aliassime F.,3,7.0,5.0,3.0,,,41
Mannarino A.,3,2.0,5.0,,,,553
Pella G.,3,3.0,4.0,,,,696
Gasquet R.,3,5.0,5.0,,,,301
Hurkacz H.,3,4.0,0.0,,,,390
Thiem D.,3,3.0,1.0,,,,884
Zverev A.,3,3.0,3.0,,,,1007
Fognini F.,3,6.0,1.0,2.0,,,282
Bautista Agut R.,3,4.0,6.0,6.0,,,67
Khachanov K.,3,1.0,6.0,,,,436
Monfils G.,3,,,,,,612
Medvedev D.,3,3.0,0.0,,,,579
Cecchinato M.,3,7.0,1.0,2.0,,,142
Lajovic D.,3,6.0,6.0,5.0,,,501
Cilic M.,3,4.0,6.0,,,,158
Garin C.,3,4.0,1.0,,,,299
Kudla D.,3,3.0,6.0,,,,482
Thompson J.,3,5.0,7.0,4.0,,,886
Auger-Aliassime F.,3,3.0,3.0,,,,41
Herbert P.H.,3,6.0,6.0,,,,374
Ruud C.,3,5.0,6.0,,,,772
Berrettini M.,3,6.0,3.0,,,,87
Murray A.,3,4.0,4.0,,,,633
Karlovic I.,3,5.0,6.0,,,,430
Simon G.,3,5.0,6.0,,,,827
Sonego L.,3,5.0,4.0,,,,850
Dimitrov G.,3,7.0,4.0,6.0,,,218
Fritz T.,3,4.0,6.0,4.0,,,286
Basilashvili N.,3,7.0,4.0,2.0,,,64
Verdasco F.,3,4.0,,,,,940
Monfils G.,3,6.0,3.0,,,,612
Djere L.,3,6.0,3.0,,,,219
Sousa J.,3,6.0,3.0,2.0,,,852
Edmund K.,3,2.0,5.0,,,,246
Hurkacz H.,3,6.0,3.0,,,,390
Coric B.,3,6.0,3.0,5.0,,,170
Querrey S.,3,5.0,1.0,,,,720
Londero J.I.,3,3.0,4.0,,,,532
Isner J.,3,4.0,7.0,6.0,,,399
Opelka R.,3,6.0,4.0,,,,678
Delbonis F.,3,5.0,6.0,,,,204
Nishikori K.,3,6.0,4.0,,,,660
Paire B.,3,6.0,1.0,,,,685
Tsitsipas S.,3,4.0,7.0,6.0,,,906
Albot R.,3,4.0,2.0,,,,10
Wawrinka S.,3,4.0,4.0,,,,962
Pella G.,3,1.0,5.0,,,,696
Zverev A.,3,7.0,2.0,4.0,,,1007
Kukushkin M.,3,1.0,3.0,,,,486
Shapovalov D.,3,4.0,4.0,,,,816
Tiafoe F.,3,3.0,6.0,1.0,,,887
Kyrgios N.,3,7.0,6.0,2.0,,,497
De Minaur A.,3,5.0,4.0,,,,193
Schwartzman D.,3,6.0,3.0,,,,806
Mannarino A.,3,6.0,2.0,,,,553
Struff J.L.,3,2.0,1.0,,,,868
Kecmanovic M.,3,1.0,2.0,,,,433
Federer R.,3,3.0,4.0,,,,271
Khachanov K.,3,7.0,4.0,2.0,,,436
Carreno Busta P.,3,3.0,4.0,,,,136
Bautista Agut R.,3,6.0,6.0,2.0,,,67
Nishioka Y.,3,,,,,,661
Rublev A.,3,2.0,3.0,,,,768
Pouille L.,3,6.0,1.0,,,,713
Gasquet R.,3,3.0,4.0,,,,301
Djokovic N.,3,6.0,3.0,3.0,,,221
Goffin D.,3,6.0,4.0,,,,317
Kudla D.,3,4.0,6.0,,,,482
Stebe C.M.,3,3.0,4.0,,,,862
Munar J.,3,6.0,6.0,1.0,,,628
Seppi A.,3,1.0,6.0,3.0,,,809
Klizan M.,3,4.0,6.0,3.0,,,454
Jarry N.,3,4.0,2.0,,,,407
Bublik A.,3,6.0,0.0,,,,125
Laaksonen H.,3,6.0,1.0,,,,498
Monteiro J.,3,7.0,4.0,6.0,,,615
Weintraub A.,3,0.0,0.0,,,,963
Murray A.,3,6.0,5.0,,,,633
Giron M.,3,2.0,6.0,3.0,,,315
Sarmiento R.,3,1.0,6.0,,,,795
Moutet C.,3,3.0,3.0,,,,623
Fabbiano T.,3,4.0,2.0,,,,267
Hoang A.,3,7.0,0.0,2.0,,,381
Cecchinato M.,3,7.0,4.0,3.0,,,142
Sousa J.,3,6.0,3.0,4.0,,,852
Gunneswaran P.,3,3.0,5.0,,,,351
Copil M.,3,3.0,7.0,4.0,,,166
Lee D.H.,3,6.0,0.0,3.0,,,511
Harris L.,3,1.0,,,,,367
Berdych T.,3,6.0,5.0,1.0,,,83
Andujar P.,3,4.0,6.0,5.0,,,29
Fratangelo B.,3,6.0,3.0,2.0,,,285
Evans D.,3,3.0,1.0,,,,265
Popyrin A.,3,6.0,3.0,,,,710
Carballes Baena R.,3,3.0,5.0,,,,135
Dzumhur D.,3,1.0,4.0,,,,240
Sandgren T.,3,2.0,4.0,,,,790
Ramos-Vinolas A.,3,7.0,3.0,1.0,,,732
Chardy J.,3,2.0,,,,,151
Haase R.,3,3.0,4.0,,,,354
Humbert U.,3,6.0,6.0,3.0,,,389
Ruud C.,3,2.0,6.0,,,,772
Sonego L.,3,6.0,0.0,,,,850
Kecmanovic M.,3,2.0,3.0,,,,433
Lopez F.,3,3.0,1.0,,,,533
Krajinovic F.,3,2.0,,,,,475
Querrey S.,3,6.0,6.0,,,,720
Carreno Busta P.,3,6.0,6.0,3.0,,,136
Millman J.,3,6.0,6.0,4.0,,,597
Rublev A.,3,3.0,6.0,,,,768
Tiafoe F.,3,6.0,6.0,1.0,,,887
Johnson S.,3,6.0,0.0,0.0,,,415
Shapovalov D.,3,3.0,4.0,,,,816
Paire B.,3,3.0,6.0,3.0,,,685
Darcis S.,5,5.0,3.0,3.0,,,183
Eubanks C.,5,6.0,6.0,4.0,7.0,3.0,263
Tipsarevic J.,5,6.0,1.0,6.0,1.0,,888
Monteiro T.,5,3.0,2.0,3.0,,,616
Berdych T.,5,1.0,6.0,4.0,4.0,,83
Fucsovics M.,5,6.0,4.0,2.0,6.0,3.0,287
Trungelliti M.,5,1.0,1.0,,,,902
Herbert P.H.,5,4.0,2.0,7.0,5.0,,374
Mannarino A.,5,4.0,3.0,6.0,3.0,,553
Gunneswaran P.,5,4.0,1.0,2.0,,,351
Fognini F.,5,3.0,4.0,7.0,3.0,,282
Kwon S.W.,5,3.0,4.0,6.0,3.0,,495
Svajda Z.,5,6.0,7.0,4.0,6.0,2.0,873
Carballes Baena R.,5,4.0,1.0,4.0,,,135
Djere L.,5,2.0,1.0,5.0,,,219
Seppi A.,5,1.0,7.0,4.0,3.0,,809
Querrey S.,5,6.0,1.0,6.0,5.0,,720
Moutet C.,5,3.0,6.0,4.0,0.0,,623
Norrie C.,5,6.0,4.0,6.0,7.0,6.0,663
Munar J.,5,4.0,6.0,7.0,5.0,,628
Kohlschreiber P.,5,3.0,6.0,4.0,4.0,,460
Benchetrit E.,5,6.0,2.0,3.0,0.0,,80
Donskoy E.,5,6.0,3.0,0.0,,,230
Hurkacz H.,5,6.0,3.0,7.0,1.0,4.0,390
Sock J.,5,4.0,5.0,6.0,,,846
Pella G.,5,3.0,6.0,6.0,3.0,,696
Fritz T.,5,6.0,4.0,3.0,4.0,,286
Giron M.,5,6.0,4.0,4.0,4.0,,315
Jarry N.,5,7.0,6.0,6.0,6.0,4.0,407
Sinner J.,5,3.0,6.0,6.0,3.0,,830
Vesely J.,5,6.0,6.0,6.0,6.0,4.0,942
Nagal S.,5,6.0,1.0,2.0,4.0,,639
Delbonis F.,5,1.0,5.0,6.0,,,204
Gasquet R.,5,4.0,3.0,6.0,2.0,,301
Fratangelo B.,5,7.0,5.0,5.0,5.0,,285
Bautista Agut R.,5,6.0,1.0,4.0,6.0,3.0,67
Granollers M.,5,3.0,4.0,4.0,,,335
Tsitsipas S.,5,4.0,7.0,6.0,5.0,,906
Giraldo S.,5,6.0,0.0,5.0,6.0,4.0,314
Klizan M.,5,3.0,2.0,6.0,,,454
Kamke T.,5,3.0,6.0,1.0,2.0,,427
Sousa J.,5,3.0,2.0,4.0,,,852
Edmund K.,5,6.0,6.0,5.0,7.0,2.0,246
Garcia-Lopez G.,5,3.0,4.0,4.0,,,298
Albot R.,5,1.0,3.0,6.0,6.0,2.0,10
Krajinovic F.,5,3.0,6.0,4.0,6.0,,475
Ruud C.,5,4.0,4.0,2.0,,,772
Tsonga J.W.,5,6.0,7.0,4.0,6.0,5.0,907
Thiem D.,5,4.0,6.0,3.0,2.0,,884
Escobedo E.,5,6.0,4.0,7.0,4.0,2.0,259
Humbert U.,5,3.0,7.0,6.0,6.0,1.0,389
Khachanov K.,5,6.0,5.0,5.0,6.0,3.0,436
Ivashka I.,5,3.0,6.0,7.0,2.0,,403
Haase R.,5,3.0,6.0,0.0,,,354
Kovalik J.,5,3.0,4.0,5.0,,,472
Schnur B.,5,2.0,4.0,4.0,,,799
Harris L.,5,5.0,6.0,6.0,,,367
Karlovic I.,5,2.0,3.0,2.0,,,430
Mayer L.,5,6.0,2.0,7.0,1.0,3.0,572
Auger-Aliassime F.,5,1.0,1.0,4.0,,,41
Cecchinato M.,5,6.0,6.0,6.0,6.0,6.0,142
Ramos-Vinolas A.,5,6.0,4.0,3.0,,,732
Millman J.,5,3.0,2.0,2.0,,,597
Johnson S.,5,3.0,6.0,4.0,,,415
Coric B.,5,,,,,,170
Klahn B.,5,2.0,6.0,3.0,5.0,,450
Dzumhur D.,5,6.0,2.0,3.0,4.0,,240
Londero J.I.,5,4.0,6.0,1.0,,,532
Opelka R.,5,4.0,4.0,6.0,,,678
Barrere G.,5,2.0,2.0,2.0,,,58
Garin C.,5,3.0,5.0,3.0,,,299
Cuevas P.,5,7.0,4.0,6.0,4.0,1.0,178
Pouille L.,5,4.0,3.0,7.0,4.0,,713
Lajovic D.,5,5.0,5.0,6.0,3.0,,501
Tiafoe F.,5,3.0,6.0,2.0,6.0,3.0,887
Kecmanovic M.,5,6.0,7.0,6.0,6.0,3.0,433
Paire B.,5,6.0,7.0,2.0,5.0,6.0,685
Berankis R.,5,4.0,7.0,2.0,0.0,,82
Chardy J.,5,4.0,3.0,7.0,3.0,,151
Dellien H.,5,3.0,5.0,7.0,3.0,,209
Thompson J.,5,5.0,6.0,6.0,1.0,,886
Nishioka Y.,5,7.0,0.0,4.0,4.0,,661
Brooksby J.,5,6.0,6.0,5.0,2.0,,119
Struff J.L.,5,3.0,6.0,6.0,,,868
Kukushkin M.,5,6.0,5.0,3.0,2.0,,486
Fabbiano T.,5,7.0,7.0,4.0,3.0,3.0,267
Sonego L.,5,2.0,4.0,2.0,,,850
Laaksonen H.,5,4.0,6.0,2.0,,,498
Simon G.,5,2.0,,,,,827
Gerasimov E.,5,4.0,2.0,0.0,,,305
Hoang A.,5,4.0,2.0,4.0,,,381
Pospisil V.,5,3.0,7.0,3.0,4.0,,712
Copil M.,5,3.0,2.0,2.0,,,166
Verdasco F.,5,6.0,6.0,5.0,3.0,6.0,940
Kokkinakis T.,5,,,,,,462
Stebe C.M.,5,6.0,3.0,5.0,3.0,,862
Nishikori K.,5,2.0,4.0,6.0,3.0,,660
Evans D.,5,2.0,2.0,1.0,,,265
Carreno Busta P.,5,6.0,6.0,5.0,,,136
Lorenzi P.,5,4.0,6.0,6.0,,,538
Majchrzak K.,5,5.0,6.0,2.0,,,550
Basilashvili N.,5,3.0,6.0,6.0,1.0,,64
Lopez F.,5,6.0,6.0,6.0,4.0,,533
Kudla D.,5,3.0,4.0,2.0,,,482
Bublik A.,5,4.0,3.0,2.0,,,125
Chung H.,5,3.0,4.0,2.0,,,156
Bedene A.,5,7.0,6.0,3.0,6.0,,72
Isner J.,5,5.0,6.0,6.0,4.0,,399
Popyrin A.,5,4.0,4.0,7.0,6.0,,710
Sandgren T.,5,4.0,1.0,3.0,,,790
Shapovalov D.,5,7.0,6.0,4.0,7.0,3.0,816
Kyrgios N.,5,6.0,6.0,3.0,,,497
Goffin D.,5,2.0,2.0,0.0,,,317
De Minaur A.,5,5.0,3.0,4.0,,,193
Koepfer D.,5,6.0,3.0,2.0,6.0,,459
Djokovic N.,5,4.0,5.0,1.0,,,221
Zverev A.,5,6.0,2.0,4.0,3.0,,1007
Rublev A.,5,1.0,4.0,6.0,,,768
Andujar P.,5,1.0,2.0,2.0,,,29
Cilic M.,5,3.0,6.0,1.0,2.0,,158
Wawrinka S.,5,6.0,3.0,6.0,1.0,,962
Federer R.,5,6.0,4.0,6.0,4.0,2.0,271
Monfils G.,5,6.0,3.0,2.0,6.0,6.0,612
Schwartzman D.,5,4.0,5.0,2.0,,,806
Dimitrov G.,5,6.0,4.0,3.0,,,218
Berrettini M.,5,6.0,4.0,1.0,,,87
Medvedev D.,5,5.0,3.0,7.0,6.0,4.0,579
Stebe C.M.,3,2.0,3.0,,,,862
Darcis S.,3,2.0,2.0,,,,183
Gojowczyk P.,3,5.0,4.0,,,,319
Hurkacz H.,3,2.0,2.0,,,,390
Struff J.L.,3,6.0,4.0,,,,868
Granollers M.,3,6.0,6.0,4.0,,,335
Otte O.,3,2.0,6.0,,,,681
Andujar P.,3,6.0,1.0,2.0,,,29
Lenz J.,3,1.0,1.0,,,,516
Roumane R.,3,4.0,4.0,,,,766
Copil M.,3,3.0,4.0,,,,166
Humbert U.,3,4.0,7.0,4.0,,,389
Hoang A.,3,6.0,6.0,2.0,,,381
Gasquet R.,3,6.0,3.0,4.0,,,301
Verdasco F.,3,6.0,4.0,3.0,,,940
Simon G.,3,6.0,2.0,,,,827
Goffin D.,3,3.0,2.0,,,,317
Sonego L.,3,1.0,4.0,,,,850
Herbert P.H.,3,3.0,4.0,,,,374
Maden Y.,3,2.0,6.0,,,,547
Carreno Busta P.,3,4.0,5.0,,,,136
Barrere G.,3,6.0,4.0,,,,58
Krajinovic F.,3,6.0,5.0,2.0,,,475
Basilashvili N.,3,7.0,3.0,1.0,,,64
Paire B.,3,6.0,1.0,2.0,,,685
Pouille L.,3,6.0,6.0,,,,713
Bedene A.,3,7.0,4.0,,,,72
Travaglia S.,3,5.0,2.0,,,,896
Sinner J.,3,3.0,6.0,,,,830
Tipsarevic J.,3,5.0,6.0,1.0,,,888
Klizan M.,3,2.0,5.0,,,,454
Rosol L.,3,5.0,2.0,,,,765
Viola M.,3,2.0,1.0,,,,947
Sela D.,3,3.0,0.0,,,,808
Ivashka I.,3,6.0,0.0,4.0,,,403
Kovalik J.,3,2.0,3.0,,,,472
Vatutin A.,3,5.0,1.0,,,,931
Fabbiano T.,3,6.0,3.0,3.0,,,267
Bublik A.,3,7.0,4.0,2.0,,,125
Dzumhur D.,3,6.0,2.0,,,,240
Mannarino A.,3,3.0,1.0,,,,553
Fucsovics M.,3,7.0,5.0,0.0,,,287
Caruso S.,3,3.0,4.0,,,,139
Carballes Baena R.,3,1.0,2.0,,,,135
Khachanov K.,3,6.0,4.0,,,,436
Donskoy E.,3,5.0,3.0,,,,230
Berankis R.,3,4.0,7.0,1.0,,,82
Ruud C.,3,6.0,5.0,3.0,,,772
Kukushkin M.,3,6.0,2.0,,,,486
Berrettini M.,3,6.0,6.0,,,,87
Rublev A.,3,4.0,5.0,,,,768
Sousa J.,3,6.0,6.0,1.0,,,852
Gerasimov E.,3,5.0,5.0,,,,305
Coric B.,3,3.0,1.0,,,,170
Edmund K.,3,3.0,2.0,,,,246
Jung J.,3,6.0,3.0,6.0,,,423
Bai Y.,3,3.0,6.0,6.0,,,49
Albot R.,3,3.0,4.0,,,,10
Londero J.I.,3,2.0,6.0,4.0,,,532
Popyrin A.,3,2.0,5.0,,,,710
Fucsovics M.,3,6.0,4.0,2.0,,,287
Li Z.,3,6.0,2.0,3.0,,,521
Chung H.,3,6.0,3.0,4.0,,,156
Pospisil V.,3,3.0,6.0,5.0,,,712
Fritz T.,3,6.0,5.0,5.0,,,286
Berankis R.,3,4.0,3.0,,,,82
Evans D.,3,5.0,5.0,,,,265
Paire B.,3,3.0,6.0,3.0,,,685
Verdasco F.,3,3.0,6.0,3.0,,,940
Klahn B.,3,6.0,3.0,6.0,,,450
Auger-Aliassime F.,3,4.0,7.0,4.0,,,41
Thompson J.,3,4.0,5.0,,,,886
Lajovic D.,3,3.0,3.0,,,,501
Isner J.,3,7.0,6.0,6.0,,,399
Dimitrov G.,3,7.0,6.0,6.0,,,218
Sousa J.,3,7.0,3.0,4.0,,,852
Gerasimov E.,3,4.0,6.0,3.0,,,305
Garin C.,3,5.0,2.0,,,,299
Harris L.,3,6.0,4.0,,,,367
Shapovalov D.,3,3.0,4.0,,,,816
Bublik A.,3,7.0,4.0,6.0,,,125
Gojowczyk P.,3,1.0,4.0,,,,319
Nishioka Y.,3,2.0,1.0,,,,661
Ito T.,3,6.0,3.0,5.0,,,401
Zhang Ze.,3,6.0,5.0,,,,999
Johnson S.,3,6.0,2.0,1.0,,,415
Ruud C.,3,2.0,,,,,772
Koepfer D.,3,5.0,2.0,,,,459
Cecchinato M.,3,7.0,4.0,2.0,,,142
Millman J.,3,1.0,3.0,,,,597
Sandgren T.,3,3.0,7.0,1.0,,,790
Pouille L.,3,6.0,2.0,,,,713
Kyrgios N.,3,6.0,1.0,,,,497
Kecmanovic M.,3,6.0,3.0,,,,433
Norrie C.,3,7.0,3.0,4.0,,,663
Zhang Zh.,3,6.0,6.0,6.0,,,1000
Kwon S.W.,3,6.0,2.0,,,,495
Andujar P.,3,5.0,5.0,,,,29
Tsitsipas S.,3,6.0,5.0,,,,906
Wu D.,3,3.0,3.0,,,,973
Murray A.,3,6.0,2.0,4.0,,,633
Monfils G.,3,5.0,4.0,,,,612
Dzumhur D.,3,1.0,4.0,,,,240
Seppi A.,3,2.0,2.0,,,,809
Coric B.,3,2.0,6.0,4.0,,,170
Ramos-Vinolas A.,3,0.0,6.0,1.0,,,732
Bautista Agut R.,3,2.0,2.0,,,,67
Mannarino A.,3,6.0,4.0,,,,553
Dimitrov G.,3,2.0,5.0,,,,218
Cuevas P.,3,2.0,6.0,,,,178
Cecchinato M.,3,7.0,3.0,6.0,,,142
Edmund K.,3,4.0,6.0,6.0,,,246
Li Z.,3,3.0,4.0,,,,521
Tiafoe F.,3,3.0,2.0,,,,887
Garin C.,3,6.0,0.0,,,,299
Ramos-Vinolas A.,3,3.0,4.0,,,,732
Monfils G.,3,4.0,7.0,3.0,,,612
Berrettini M.,3,6.0,6.0,,,,87
Kukushkin M.,3,4.0,6.0,6.0,,,486
Pella G.,3,4.0,6.0,,,,696
Gasquet R.,3,4.0,1.0,,,,301
Lajovic D.,3,6.0,3.0,4.0,,,501
Bautista Agut R.,3,6.0,1.0,,,,67
Verdasco F.,3,4.0,6.0,3.0,,,940
Norrie C.,3,6.0,7.0,1.0,,,663
Chardy J.,3,6.0,6.0,,,,151
Rublev A.,3,3.0,4.0,,,,768
Zhang Zh.,3,3.0,3.0,,,,1000
Evans D.,3,6.0,5.0,,,,265
Basilashvili N.,3,6.0,3.0,2.0,,,64
Schwartzman D.,3,6.0,7.0,3.0,,,806
Auger-Aliassime F.,3,3.0,1.0,,,,41
Fognini F.,3,6.0,3.0,1.0,,,282
Murray A.,3,2.0,6.0,,,,633
Isner J.,3,6.0,3.0,,,,399
Querrey S.,3,6.0,2.0,,,,720
Khachanov K.,3,6.0,6.0,5.0,,,436
Zverev A.,3,6.0,4.0,,,,1007
Tsitsipas S.,3,6.0,4.0,1.0,,,906
Struff J.L.,3,6.0,6.0,3.0,,,868
Hurkacz H.,3,4.0,3.0,,,,390
Sugita Y.,3,4.0,4.0,,,,870
Sousa J.,3,5.0,3.0,,,,852
Sonego L.,3,6.0,3.0,4.0,,,850
Paire B.,3,2.0,2.0,,,,685
Fritz T.,3,3.0,4.0,,,,286
Coric B.,3,4.0,6.0,6.0,,,170
Andujar P.,3,4.0,0.0,,,,29
Krajinovic F.,3,3.0,5.0,,,,475
Popyrin A.,3,4.0,2.0,,,,710
Londero J.I.,3,3.0,6.0,3.0,,,532
Kecmanovic M.,3,4.0,4.0,,,,433
Carreno Busta P.,3,6.0,6.0,0.0,,,136
Mannarino A.,3,6.0,3.0,4.0,,,553
De Minaur A.,3,3.0,7.0,6.0,,,193
Albot R.,3,7.0,3.0,4.0,,,10
Soeda G.,3,3.0,5.0,,,,849
Simon G.,3,6.0,6.0,,,,827
Nishioka Y.,3,1.0,2.0,,,,661
Thompson J.,3,4.0,6.0,,,,886
Harris L.,3,3.0,2.0,,,,367
Shapovalov D.,3,6.0,6.0,,,,816
Cilic M.,3,4.0,6.0,1.0,,,158
Uchiyama Y.,3,3.0,3.0,,,,911
Daniel T.,3,4.0,0.0,,,,182
Pouille L.,3,1.0,2.0,,,,713
Chung H.,3,2.0,2.0,,,,156
Opelka R.,3,3.0,6.0,,,,678
Goffin D.,3,3.0,4.0,,,,317
Millman J.,3,3.0,2.0,,,,597
Albot R.,3,6.0,1.0,3.0,,,10
Krajinovic F.,3,6.0,4.0,6.0,,,475
Verdasco F.,3,6.0,7.0,4.0,,,940
Zhang Zh.,3,6.0,4.0,,,,1000
Simon G.,3,5.0,2.0,,,,827
Cilic M.,3,4.0,4.0,,,,158
Tiafoe F.,3,4.0,2.0,,,,887
Querrey S.,3,4.0,2.0,,,,720
Schwartzman D.,3,6.0,2.0,,,,806
Cecchinato M.,3,2.0,5.0,,,,142
Cuevas P.,3,1.0,4.0,,,,178
Edmund K.,3,4.0,6.0,,,,246
Sonego L.,3,5.0,7.0,3.0,,,850
Londero J.I.,3,6.0,2.0,3.0,,,532
Kecmanovic M.,3,6.0,4.0,,,,433
Zhang Ze.,3,3.0,6.0,4.0,,,999
Li Z.,3,7.0,4.0,4.0,,,521
Lajovic D.,3,3.0,4.0,,,,501
Coric B.,3,4.0,6.0,,,,170
De Minaur A.,3,6.0,4.0,,,,193
Pella G.,3,3.0,5.0,,,,696
Struff J.L.,3,2.0,1.0,,,,868
Bublik A.,3,6.0,0.0,,,,125
Gasquet R.,3,2.0,3.0,,,,301
Paire B.,3,4.0,6.0,1.0,,,685
Monfils G.,3,2.0,6.0,,,,612
Ramos-Vinolas A.,3,2.0,6.0,,,,732
Sousa J.,3,3.0,5.0,,,,852
Murray A.,3,6.0,6.0,6.0,,,633
Norrie C.,3,3.0,1.0,,,,663
Auger-Aliassime F.,3,6.0,6.0,,,,41
Garin C.,3,3.0,3.0,,,,299
Pouille L.,3,5.0,3.0,,,,713
Opelka R.,3,4.0,5.0,,,,678
Fritz T.,3,2.0,4.0,,,,286
Chardy J.,3,6.0,6.0,,,,151
Millman J.,3,2.0,0.0,,,,597
Kukushkin M.,3,2.0,0.0,,,,486
Shapovalov D.,3,3.0,3.0,,,,816
Carreno Busta P.,3,6.0,3.0,,,,136
Khachanov K.,3,3.0,5.0,,,,436
Pospisil V.,3,6.0,5.0,,,,712
Bautista Agut R.,3,6.0,4.0,,,,67
Isner J.,3,5.0,3.0,,,,399
Hurkacz H.,3,5.0,6.0,6.0,,,390
Goffin D.,3,6.0,4.0,,,,317
Basilashvili N.,3,3.0,4.0,,,,64
Rublev A.,3,0.0,6.0,,,,768
Fognini F.,3,3.0,6.0,,,,282
Djokovic N.,3,6.0,5.0,3.0,,,221
Federer R.,3,3.0,7.0,3.0,,,271
Thiem D.,3,6.0,4.0,,,,884
Tsitsipas S.,3,6.0,5.0,,,,906
Berrettini M.,3,3.0,4.0,,,,87
Zverev A.,3,4.0,1.0,,,,1007
Gojowczyk P.,3,7.0,4.0,6.0,,,319
Sonego L.,3,3.0,4.0,,,,850
Barrere G.,3,2.0,1.0,,,,58
Norrie C.,3,6.0,4.0,,,,663
Delbonis F.,3,4.0,6.0,,,,204
Gasquet R.,3,6.0,3.0,4.0,,,301
Majchrzak K.,3,4.0,2.0,,,,550
Darcis S.,3,1.0,2.0,,,,183
Coppejans K.,3,4.0,6.0,,,,167
Kovalik J.,3,4.0,5.0,,,,472
Maden Y.,3,6.0,3.0,,,,547
Dellien H.,3,4.0,3.0,,,,209
Kwon S.W.,3,5.0,5.0,,,,495
Tsonga J.W.,3,4.0,5.0,,,,907
Lopez F.,3,7.0,4.0,6.0,,,533
Struff J.L.,3,3.0,4.0,,,,868
Schwartzman D.,3,4.0,7.0,6.0,,,806
Monfils G.,3,3.0,2.0,,,,612
Cuevas P.,3,4.0,3.0,,,,178
Goffin D.,3,3.0,1.0,,,,317
Tiafoe F.,3,4.0,6.0,3.0,,,887
Simon G.,3,3.0,7.0,2.0,,,827
Copil M.,3,3.0,7.0,4.0,,,166
Pella G.,3,7.0,4.0,4.0,,,696
Sinner J.,3,3.0,2.0,,,,830
Humbert U.,3,6.0,5.0,2.0,,,389
Wawrinka S.,3,6.0,4.0,4.0,,,962
Garin C.,3,6.0,6.0,6.0,,,299
Londero J.I.,3,7.0,6.0,3.0,,,532
Dzumhur D.,3,6.0,0.0,,,,240
Berankis R.,3,2.0,6.0,3.0,,,82
Dubrivnyy A.,3,1.0,5.0,,,,233
Donskoy E.,3,4.0,3.0,,,,230
Herbert P.H.,3,3.0,6.0,,,,374
Jarry N.,3,4.0,2.0,,,,407
Bedene A.,3,4.0,7.0,6.0,,,72
Bublik A.,3,1.0,6.0,4.0,,,125
Fabbiano T.,3,3.0,4.0,,,,267
Kachmazov A.,3,1.0,6.0,1.0,,,425
Carballes Baena R.,3,7.0,1.0,3.0,,,135
Kukushkin M.,3,6.0,2.0,,,,486
Rosol L.,3,4.0,7.0,3.0,,,765
Kohlschreiber P.,3,6.0,3.0,6.0,,,460
Avidzba A.,3,5.0,0.0,,,,43
Gerasimov E.,3,6.0,7.0,2.0,,,305
Kecmanovic M.,3,3.0,4.0,,,,433
Karlovic I.,3,1.0,6.0,,,,430
Lajovic D.,3,6.0,1.0,,,,501
Khachanov K.,3,6.0,3.0,3.0,,,436
Chardy J.,3,4.0,6.0,6.0,,,151
