loser,best_of,l_one,l_two,l_three,l_four,l_five,loser_id
Nishioka Y.,5,3.0,4.0,6.0,2.0,,661
Tabilo A.,5,2.0,2.0,3.0,,,877
Vesely J.,5,5.0,3.0,4.0,,,942
Coria F.,5,1.0,1.0,3.0,,,168
Nakashima B.,5,6.0,2.0,6.0,3.0,,640
Kudla D.,5,6.0,3.0,2.0,6.0,,482
Duckworth J.,5,4.0,6.0,6.0,2.0,1.0,234
Etcheverry T.,5,1.0,2.0,6.0,,,262
Escobedo E.,5,6.0,6.0,3.0,3.0,,259
Giron M.,5,1.0,4.0,2.0,,,315
Norrie C.,5,3.0,0.0,4.0,,,663
Gerasimov E.,5,2.0,6.0,7.0,3.0,,305
Taberner C.,5,1.0,6.0,4.0,1.0,,876
Pouille L.,5,6.0,3.0,4.0,3.0,,713
Fognini F.,5,1.0,4.0,4.0,,,282
Milojevic N.,5,7.0,4.0,3.0,2.0,,599
Caruso S.,5,4.0,2.0,1.0,,,139
Querrey S.,5,5.0,3.0,3.0,,,720
Kokkinakis T.,5,2.0,3.0,2.0,,,462
Anderson K.,5,3.0,4.0,6.0,,,23
Lopez F.,5,1.0,3.0,6.0,5.0,,533
Tseng C.H.,5,4.0,3.0,2.0,,,904
Munar J.,5,6.0,6.0,7.0,4.0,4.0,628
Kukushkin M.,5,3.0,4.0,2.0,,,486
Altmaier D.,5,6.0,1.0,6.0,,,17
Krajinovic F.,5,3.0,4.0,5.0,,,475
Struff J.L.,5,4.0,3.0,2.0,,,868
Humbert U.,5,6.0,6.0,6.0,3.0,,389
Gaston H.,5,6.0,0.0,6.0,1.0,,302
Skatov T.,5,3.0,2.0,6.0,4.0,,834
Gomez E.,5,3.0,1.0,2.0,,,324
Cecchinato M.,5,4.0,5.0,6.0,,,142
Travaglia S.,5,6.0,4.0,7.0,1.0,,896
Carballes Baena R.,5,1.0,6.0,6.0,3.0,4.0,135
Mager G.,5,3.0,2.0,2.0,,,548
Lehecka J.,5,4.0,6.0,3.0,5.0,,513
Thompson J.,5,6.0,7.0,6.0,3.0,3.0,886
Sousa J.,5,4.0,5.0,1.0,,,852
Monteiro T.,5,4.0,6.0,5.0,6.0,5.0,616
Isner J.,5,6.0,5.0,7.0,7.0,4.0,399
Laaksonen H.,5,1.0,4.0,6.0,,,498
Basilashvili N.,5,1.0,6.0,4.0,7.0,4.0,64
Ruusuvuori E.,5,4.0,6.0,6.0,3.0,4.0,773
Cerundolo J.M.,5,3.0,6.0,4.0,2.0,,146
Barrios M.,5,6.0,1.0,1.0,,,60
Safiullin R.,5,3.0,6.0,7.0,6.0,,780
Dzumhur D.,5,1.0,5.0,1.0,,,240
Goffin D.,5,4.0,3.0,0.0,,,317
Marterer M.,5,6.0,3.0,2.0,,,560
Bolt A.,5,3.0,3.0,4.0,,,103
Ramos-Vinolas A.,5,4.0,6.0,3.0,6.0,2.0,732
Trungelliti M.,5,6.0,4.0,2.0,6.0,3.0,902
Popyrin A.,5,5.0,6.0,2.0,6.0,3.0,710
Seppi A.,5,1.0,1.0,5.0,,,809
Musetti L.,5,6.0,3.0,0.0,3.0,,634
Broady L.,5,4.0,4.0,3.0,,,118
Ymer M.,5,2.0,4.0,3.0,,,980
Otte O.,5,6.0,2.0,3.0,1.0,,681
Paul T.,5,6.0,5.0,6.0,,,690
Griekspoor T.,5,3.0,7.0,6.0,6.0,4.0,343
Koepfer D.,5,4.0,3.0,6.0,,,459
Moutet C.,5,6.0,4.0,7.0,5.0,6.0,623
Kwon S.W.,5,6.0,7.0,7.0,5.0,2.0,495
Hanfmann Y.,5,2.0,3.0,4.0,,,364
Lajovic D.,5,2.0,1.0,5.0,,,501
Kozlov S.,5,1.0,6.0,4.0,1.0,,473
Martinez P.,5,7.0,6.0,6.0,2.0,2.0,565
Vukic A.,5,4.0,6.0,4.0,,,953
Hurkacz H.,5,4.0,2.0,3.0,,,390
Bonzi B.,5,4.0,0.0,5.0,,,104
Mcdonald M.,5,6.0,2.0,2.0,3.0,,575
Millman J.,5,4.0,4.0,0.0,,,597
Bublik A.,5,1.0,0.0,4.0,,,125
Gombos N.,5,2.0,3.0,6.0,6.0,,322
Schwartzman D.,5,6.0,4.0,4.0,,,806
Machac T.,5,1.0,6.0,1.0,6.0,,545
Berankis R.,5,4.0,2.0,0.0,,,82
Rinderknech A.,5,,,,,,748
Molcan A.,5,4.0,6.0,6.0,1.0,,608
Tiafoe F.,5,4.0,3.0,6.0,,,887
Kohlschreiber P.,5,1.0,0.0,3.0,,,460
Davidovich Fokina A.,5,6.0,7.0,6.0,6.0,,185
Majchrzak K.,5,4.0,4.0,2.0,,,550
Baez S.,5,6.0,7.0,3.0,4.0,,46
Dimitrov G.,5,4.0,4.0,7.0,6.0,,218
Murray A.,5,4.0,4.0,4.0,,,633
Gasquet R.,5,6.0,0.0,0.0,,,301
Kyrgios N.,5,6.0,4.0,6.0,2.0,,497
Johnson S.,5,2.0,4.0,3.0,,,415
Sonego L.,5,4.0,7.0,2.0,5.0,,850
Garin C.,5,6.0,1.0,3.0,,,299
Alcaraz C.,5,2.0,6.0,6.0,6.0,6.0,12
Opelka R.,5,6.0,6.0,3.0,4.0,,678
Korda S.,5,4.0,5.0,7.0,3.0,,467
Albot R.,5,3.0,4.0,4.0,,,10
Khachanov K.,5,3.0,2.0,6.0,1.0,,436
Karatsev A.,5,6.0,7.0,5.0,4.0,,429
Bautista Agut R.,5,0.0,6.0,6.0,4.0,3.0,67
Paire B.,5,3.0,5.0,7.0,4.0,,685
O Connell C.,5,2.0,7.0,3.0,2.0,,666
Van De Zandschulp B.,5,4.0,4.0,2.0,,,920
Evans D.,5,4.0,1.0,1.0,,,265
Daniel T.,5,4.0,6.0,3.0,1.0,,182
Andujar P.,5,4.0,4.0,2.0,,,29
Rublev A.,5,5.0,6.0,6.0,3.0,,768
Mannarino A.,5,6.0,2.0,2.0,,,553
Zverev A.,5,3.0,6.0,3.0,,,1007
Kecmanovic M.,5,5.0,6.0,3.0,,,433
Carreno Busta P.,5,5.0,6.0,4.0,,,136
Cilic M.,5,6.0,6.0,2.0,6.0,,158
Cressy M.,5,2.0,6.0,7.0,5.0,,174
De Minaur A.,5,6.0,3.0,4.0,,,193
Fritz T.,5,6.0,4.0,6.0,3.0,4.0,286
Shapovalov D.,5,3.0,4.0,6.0,6.0,3.0,816
Monfils G.,5,4.0,4.0,6.0,6.0,2.0,612
Sinner J.,5,3.0,4.0,2.0,,,830
Auger-Aliassime F.,5,7.0,6.0,6.0,5.0,4.0,41
Berrettini M.,5,3.0,2.0,6.0,3.0,,87
Tsitsipas S.,5,6.0,6.0,4.0,1.0,,906
Medvedev D.,5,6.0,7.0,4.0,4.0,5.0,579
Monteiro T.,3,6.0,4.0,6.0,,,616
